Mass then Time (d),H1,H2,H3,He3,He4,He6,Li6,Li7,Li8,Be8,Be9,Be10,Be11,B10,B11,B12,C12,C13,C14,C15,N13,N14,N15,N16,N17,O16,O17,O18,O19,F18,F19,F20,Ne20
13.149,8.61129076129e+19,3.72601002445e+19,3.73953107801e+19,3.78828732246e+16,7.47354964841e+20,3.99408608464e+13,9.24502970792e+23,1.12554860782e+25,5989909539.09,0.0155286813703,6.08977542322e+24,1.24675501114e+15,1050.96391219,77934003.2482,1.89754583164e+14,53300556.8834,1.03892913461e+15,4.86153447466e+14,4.17591031828e+14,1830064054.81,471542.451764,1.68478173969e+15,5.28297780052e+20,3.55992559959e+14,227117173.609,3.93172700817e+19,1.80295286594e+19,8.78476968528e+19,8.71512498216e+14,4.81664492857e+17,2.43591979836e+25,2.36863064729e+12,1.68037782422e+17
13.8795,9.0896933944e+19,3.93300848021e+19,3.947061529e+19,4.22073858478e+16,7.8887402708e+20,3.99407962993e+13,9.24505335686e+23,1.12554842748e+25,5989908621.16,0.0155286510488,6.0897635319e+24,1.31601789339e+15,1170.98412981,91016047.1423,2.11424191619e+14,56261626.0393,1.1575713352e+15,5.41670791943e+14,4.6527851774e+14,1931732091.02,525432.810937,1.87717737431e+15,5.57646933475e+20,3.55992001853e+14,239734461.256,4.15015386666e+19,1.90311373876e+19,9.27548036503e+19,8.71510987832e+14,4.8166365809e+17,2.43591557677e+25,2.36862654231e+12,1.77373192673e+17
14.61,9.56809577433e+19,4.14000671481e+19,4.15456870573e+19,4.67653938836e+16,8.30393020054e+20,3.99407317523e+13,9.24507700574e+23,1.12554824713e+25,5989907705.48,0.0155286207274,6.08975164059e+24,1.3852806404e+15,1297.49213034,105482792.001,2.34265147042e+14,59222687.5143,1.28262647485e+15,6.00189025997e+14,5.15543644217e+14,2033399863.5,582238.213671,2.07997240357e+15,5.86996010768e+20,3.55991443748e+14,252351706.8,4.36858026226e+19,2.00327427735e+19,9.76619019447e+19,8.7150947745e+14,4.81662823326e+17,2.43591135518e+25,2.36862243734e+12,1.86708586745e+17
15.3405,1.00464979011e+20,4.34700472826e+19,4.36205261088e+19,5.15568704725e+16,8.71911943762e+20,3.99406672055e+13,9.24510065456e+23,1.12554806679e+25,5989906792.07,0.015528590406,6.08973974932e+24,1.45454325218e+15,1430.4879233,121403747.452,2.58277451155e+14,62183741.3084,1.41409453788e+15,6.61708143806e+14,5.68386404964e+14,2135067372.27,641958.649342,2.29316678956e+15,6.1634501193e+20,3.55990885644e+14,264968910.241,4.58700619496e+19,2.10343448171e+19,1.02568991736e+20,8.71507967072e+14,4.81661988565e+17,2.4359071336e+25,2.36861833237e+12,1.96043964638e+17
16.071,1.05248997749e+20,4.55400252056e+19,4.56951324713e+19,5.6581788758e+16,9.13430798204e+20,3.99406026588e+13,9.24512430332e+23,1.12554788644e+25,5989905880.92,0.0155285600847,6.08972785806e+24,1.52380572872e+15,1569.97151822,138848423.106,2.8346110568e+14,65144787.4218,1.55197550859e+15,7.26228139551e+14,6.23806793684e+14,2236734617.31,704594.107327,2.5167604944e+15,6.45693936963e+20,3.5599032754e+14,277586071.578,4.80543166477e+19,2.20359435183e+19,1.07476073025e+20,8.71506456695e+14,4.81661153808e+17,2.43590291203e+25,2.36861422741e+12,2.05379326352e+17
16.8015,1.10033013956e+20,4.7610000917e+19,4.77695061717e+19,6.18401218867e+16,9.54949583382e+20,3.99405381122e+13,9.24514795202e+23,1.1255477061e+25,5989904972.03,0.0155285297634,6.08971596683e+24,1.59306807003e+15,1715.94292466,157886328.558,3.09816112337e+14,68105825.8543,1.69626937128e+15,7.93749007409e+14,6.81804804081e+14,2338401598.63,770144.577006,2.75075348018e+15,6.75042785866e+20,3.55989769438e+14,290203190.811,5.0238566717e+19,2.30375388772e+19,1.12383145811e+20,8.71504946322e+14,4.81660319054e+17,2.43589869046e+25,2.36861012246e+12,2.14714671888e+17
17.532,1.14817027634e+20,4.96799744169e+19,4.98436472368e+19,6.73318430083e+16,9.96468299295e+20,3.99404735657e+13,9.24517160065e+23,1.12554752575e+25,5989904065.39,0.0155284994422,6.08970407562e+24,1.66233027612e+15,1868.40215213,178586973.382,3.37342472849e+14,71066856.606,1.84697611025e+15,8.6427074156e+14,7.42380429859e+14,2440068316.24,838610.047754,2.99514570901e+15,7.04391558639e+20,3.55989211337e+14,302820267.941,5.24228121573e+19,2.40391308938e+19,1.17290210094e+20,8.71503435951e+14,4.81659484303e+17,2.4358944689e+25,2.36860601752e+12,2.24050001245e+17
18.2625,1.19601038783e+20,5.17499457054e+19,5.19175556934e+19,7.30569252758e+16,1.03798694594e+21,3.99404090193e+13,9.24519524923e+23,1.1255473454e+25,5989903161.02,0.0155284691211,6.08969218443e+24,1.73159234698e+15,2027.34921018,201019867.14,3.66040188936e+14,74027879.6769,2.00409570981e+15,9.37793336184e+14,8.05533664721e+14,2541734770.12,909990.508951,3.24993714301e+15,7.33740255283e+20,3.55988653236e+14,315437302.969,5.46070529687e+19,2.50407195681e+19,1.22197265874e+20,8.71501925582e+14,4.81658649556e+17,2.43589024735e+25,2.36860191258e+12,2.33385314424e+17
18.993,1.24385047405e+20,5.38199147825e+19,5.39912315683e+19,7.9015341845e+16,1.07950552333e+21,3.99403444731e+13,9.24521889775e+23,1.12554716506e+25,5989902258.91,0.0155284388,6.08968029327e+24,1.80085428264e+15,2192.78410833,225254519.372,3.95909262321e+14,76988895.067,2.16762815426e+15,1.01431678546e+15,8.71264502371e+14,2643400960.29,984285.949974,3.51512774426e+15,7.63088875797e+20,3.55988095137e+14,328054295.893,5.67912891513e+19,2.60423049e+19,1.27104313151e+20,8.71500415217e+14,4.81657814811e+17,2.4358860258e+25,2.36859780765e+12,2.42720611423e+17
19.7235,1.29169053498e+20,5.58898816481e+19,5.60646748884e+19,8.52070658749e+16,1.12102403144e+21,3.9940279927e+13,9.24524254621e+23,1.12554698471e+25,5989901359.06,0.0155284084789,6.08966840213e+24,1.87011608308e+15,2364.70685613,251360439.605,4.26949694724e+14,79949902.7764,2.3375734279e+15,1.09384108357e+15,9.39572936513e+14,2745066886.74,1061496.3602,3.79071747488e+15,7.92437420183e+20,3.55987537038e+14,340671246.714,5.8975520705e+19,2.70438868897e+19,1.32011351925e+20,8.71498904854e+14,4.81656980068e+17,2.43588180427e+25,2.36859370272e+12,2.52055892244e+17
