Mass then Time (d),H1,H2,H3,He3,He4,He6,Li6,Li7,Li8,Be8,Be9,Be10,Be11,B10,B11,B12,C12,C13,C14,C15,N13,N14,N15,N16,N17,O16,O17,O18,O19,F18,F19,F20,Ne20
13.149,8.61128858096e+19,3.72600807664e+19,3.73932164315e+19,3.998442534e+16,7.47354349999e+20,3.99408608583e+13,9.2450297099e+23,1.12554860813e+25,5989909561.07,0.0155286813751,6.08977542509e+24,1.24675380823e+15,1109.35428605,90188216.4732,2.00296765056e+14,53300488.3651,1.09664598547e+15,5.13161635894e+14,4.40789957342e+14,1830061702.24,497778.035704,1.77837697603e+15,5.28297100921e+20,3.55992560063e+14,227116797.273,3.9317228871e+19,1.80294987844e+19,8.78476213366e+19,8.71512498463e+14,4.81664492942e+17,2.43591979909e+25,2.36863064798e+12,1.68037638734e+17
13.8795,9.08969109353e+19,3.93300642421e+19,3.94684048429e+19,4.44254363859e+16,7.88873378081e+20,3.99407963113e+13,9.24505335881e+23,1.12554842778e+25,5989908644.26,0.0155286510536,6.08976353377e+24,1.31601662369e+15,1232.61852371,104611439.516,2.22552070211e+14,56261553.7145,1.2184945482e+15,5.7017938914e+14,4.89766220495e+14,1931729607.76,553125.835293,1.9759720177e+15,5.57646216615e+20,3.55992001957e+14,239734064.013,4.15014951664e+19,1.90311058529e+19,9.27547239388e+19,8.71510988081e+14,4.81663658189e+17,2.4359155775e+25,2.36862654301e+12,1.77373041003e+17
14.61,9.56809335297e+19,4.14000455063e+19,4.15433605385e+19,4.90999160879e+16,8.30392336898e+20,3.99407317644e+13,9.24507700766e+23,1.12554824744e+25,5989907729.72,0.0155286207322,6.08975164248e+24,1.38527930391e+15,1362.3705559,120488880.558,2.45978724433e+14,59222611.3831,1.34675603637e+15,6.30198027105e+14,5.41320118745e+14,2033397249.55,611388.668755,2.18396641945e+15,5.8699525618e+20,3.55991443853e+14,252351288.651,4.3685756833e+19,2.00327095792e+19,9.7661818038e+19,8.71509477701e+14,4.81662823438e+17,2.43591135592e+25,2.36862243804e+12,1.86708427092e+17
15.3405,1.00464953594e+20,4.34700245589e+19,4.3618083545e+19,5.40078375908e+16,8.71911226449e+20,3.99406672176e+13,9.24510065645e+23,1.12554806709e+25,5989906817.43,0.0155285904108,6.08973975121e+24,1.4545418489e+15,1498.61039213,137890049.578,2.70576729442e+14,62183661.3708,1.48143043427e+15,6.93217543968e+14,5.95451645795e+14,2135064627.62,672566.525467,2.40236014338e+15,6.16344219614e+20,3.55990885749e+14,264968471.184,4.58700138706e+19,2.10343099631e+19,1.02568903634e+20,8.71507967324e+14,4.81661988688e+17,2.43590713434e+25,2.36861833307e+12,1.96043797003e+17
16.071,1.05248971127e+20,4.55400014e+19,4.56925738892e+19,5.91491740428e+16,9.13430046735e+20,3.9940602671e+13,9.24512430518e+23,1.12554788675e+25,5989905907.41,0.0155285600895,6.08972785997e+24,1.52380425866e+15,1641.33804196,156884456.541,2.96346086961e+14,65144703.6777,1.62251772621e+15,7.59237933908e+14,6.5216079535e+14,2236731741.97,736659.394808,2.63115315159e+15,6.45693106919e+20,3.55990327646e+14,277585611.615,4.80542662793e+19,2.20359070047e+19,1.07475980728e+20,8.7150645695e+14,4.81661153939e+17,2.43590291277e+25,2.36861422812e+12,2.05379150735e+17
16.8015,1.10032986132e+20,4.76099760296e+19,4.77668315981e+19,6.45238985949e+16,9.54948797756e+20,3.99405381244e+13,9.24514795384e+23,1.1255477064e+25,5989904999.65,0.0155285297683,6.08971596875e+24,1.5930665332e+15,1790.55351491,177541611.391,3.2328679871e+14,68105738.3038,1.77001789649e+15,8.28259191105e+14,7.11447561112e+14,2338398592.6,803667.266154,2.87034540619e+15,6.75041918094e+20,3.55989769544e+14,290202709.942,5.02385140592e+19,2.3037500704e+19,1.12383049318e+20,8.71504946578e+14,4.81660319192e+17,2.43589869121e+25,2.36861012317e+12,2.14714488289e+17
17.532,1.14816998608e+20,4.96799484478e+19,4.98408566983e+19,7.01319844014e+16,9.96467479513e+20,3.9940473578e+13,9.24517160245e+23,1.12554752605e+25,5989904094.15,0.0155284994471,6.08970407755e+24,1.66232867252e+15,1946.25682051,199931024.056,3.51398866411e+14,71066765.2492,1.92393092942e+15,9.00281309738e+14,7.73311936786e+14,2440065179.51,873590.128883,3.11993686929e+15,7.0439065314e+20,3.55989211443e+14,302819766.166,5.24227572101e+19,2.40390910609e+19,1.17290109406e+20,8.71503436209e+14,4.81659484447e+17,2.43589446965e+25,2.36860601823e+12,2.24049809664e+17
18.2625,1.19601008555e+20,5.17499186545e+19,5.19146492168e+19,7.59734046196e+16,1.037986092e+21,3.99404090317e+13,9.245195251e+23,1.12554734571e+25,5989903190.91,0.015528469126,6.08969218637e+24,1.73159067662e+15,2108.44796831,224122204.45,3.80682291785e+14,74027784.5137,2.0842568093e+15,9.75304283986e+14,8.37753916075e+14,2541731502.7,946427.972373,3.37992750298e+15,7.33739312056e+20,3.55988653344e+14,315436780.287,5.46069957322e+19,2.50406780756e+19,1.22197160991e+20,8.71501925842e+14,4.81658649702e+17,2.4358902481e+25,2.3686019133e+12,2.3338511486e+17
18.993,1.24385015975e+20,5.38198866498e+19,5.39882091803e+19,8.20481324099e+16,1.07950463523e+21,3.99403444856e+13,9.24521889949e+23,1.12554716536e+25,5989902289.93,0.015528438805,6.08968029522e+24,1.80085254551e+15,2277.12696783,250184662.465,4.11137076554e+14,76988796.0975,2.25099552042e+15,1.05332810803e+15,9.04773492684e+14,2643397562.18,1022180.786,3.65031726938e+15,7.63087894843e+20,3.55988095244e+14,328053752.306,5.67912296253e+19,2.6042261748e+19,1.27104204073e+20,8.71500415478e+14,4.8165781496e+17,2.43588602656e+25,2.36859780837e+12,2.42720403877e+17
19.7235,1.29169020868e+20,5.58898524337e+19,5.60615366157e+19,8.83561409359e+16,1.12102310919e+21,3.99402799395e+13,9.24524254792e+23,1.12554698502e+25,5989901391.21,0.015528408484,6.08966840409e+24,1.87011427919e+15,2452.29382862,278187907.98,4.42763222439e+14,79949800.0005,2.4241470471e+15,1.13435277605e+15,9.74370660315e+14,2745063357.93,1100848.55915,3.93110613058e+15,7.92436401502e+20,3.55987537146e+14,340670682.221,5.89754588897e+19,2.70438420781e+19,1.32011238652e+20,8.71498905117e+14,4.81656980218e+17,2.43588180503e+25,2.36859370345e+12,2.52055676716e+17
